"","participant","market_center","date","ticker","order_type","order_size","total_orders","total_shrs","cancelled_shrs","mc_exec_shrs","away_exec_shrs","shrs_0to9sec","shrs_10to29sec","shrs_30to59sec","shrs_60to299sec","shrs_5to30min","avg_realzd_spread","avg_effec_spread","px_improved_shrs","px_improved_avg_amt","px_improved_avg_secs","at_quote_shrs","at_quote_avg_secs","outside_quote_shrs","outside_quote_avg_amt","outside_quote_avg_sec","in_sp500","in_r1000","on_nyse","on_nasdaq","on_amex","mcaway_exec_shrs","net_pi_numerator","net_pi_mcaway","avg_quoted_spread_mcaway","effective_over_quoted_mcaway","eoq_wgt"
"178","T","TCDRG","202212","AEL B","mkt_ordr","100-499",95,20445,0,20095,350,20445,0,0,0,0,0.126,0.1379,19224,0.0366,0,964,0,257,0.0186,0,FALSE,FALSE,FALSE,FALSE,FALSE,20445,69881.82,3.41803961848863,20.6260792369773,0.668571076527141,421700.19
"179","T","TCDRG","202212","AEM","mkt_ordr","100-499",1185,231975,0,231975,0,231975,0,0,0,0,0.008,0.0025,224643,0.0061,0,6922,0,410,0.01,0,FALSE,FALSE,TRUE,FALSE,FALSE,231975,136622.23,0.58895238711068,1.42790477422136,0.175081703285379,331238.21
"180","T","TCDRG","202212","AEMD","mkt_ordr","100-499",52,9467,0,9467,0,9467,0,0,0,0,0.0069,0.0076,7242,6e-04,0,2225,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,9467,434.52,0.0458983838597232,0.851796767719446,0.892231608291708,8063.96
"181","T","TCDRG","202212","AENZ","mkt_ordr","100-499",16,3470,0,3470,0,3470,0,0,0,0,0.0944,0.0735,3470,0.0101,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,3470,3504.7,1.01,9.37,0.784418356456777,32513.9
"182","T","TCDRG","202212","AEO","mkt_ordr","100-499",700,137239,0,137239,0,137239,0,0,0,0,0.0012,0.0028,135244,0.0039,0,1685,0,310,0.0099,0,FALSE,FALSE,TRUE,FALSE,FALSE,137239,52438.26,0.38209444837109,1.04418889674218,0.268150715712058,143303.44
"183","T","TCDRG","202212","AEP","mkt_ordr","100-499",1947,378030,0,377780,250,378030,0,0,0,0,-0.0036,0.001,366802,0.012,0,9876,0,1352,0.0132,0,TRUE,TRUE,TRUE,FALSE,FALSE,378030,438377.76,1.15963748908817,2.41927497817634,0.0413346977512166,914558.52
"184","T","TCDRG","202212","AEPPZ","mkt_ordr","100-499",38,8875,0,8875,0,8875,0,0,0,0,0.2321,0.2305,7349,0.0485,0,1526,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,8875,35642.65,4.01607323943662,31.0821464788732,0.741583275648844,275854.05
"185","T","TCDRG","202212","AER","mkt_ordr","100-499",214,44497,0,44497,0,44497,0,0,0,0,-8e-04,0.02,42709,0.024,0,1490,0,298,0.0136,0,FALSE,FALSE,TRUE,FALSE,FALSE,44497,102096.32,2.29445400813538,6.58890801627076,0.303540434175309,293186.64
"186","T","TCDRG","202212","AERC","mkt_ordr","100-499",445,84623,300,84323,0,84323,0,0,0,0,0.0155,0.0239,81182,0.0081,0,2923,0,218,0.0162,0,FALSE,FALSE,FALSE,FALSE,FALSE,84323,65404.26,0.775639623827426,3.94127924765485,0.606402096837493,332340.49
"187","T","TCDRG","202212","AES","mkt_ordr","100-499",1004,210303,0,210303,0,210303,0,0,0,0,-3e-04,0.0027,208158,0.0041,0,1423,0,722,0.0098,0,TRUE,TRUE,TRUE,FALSE,FALSE,210303,84637.22,0.402453697759899,1.0749073955198,0.251184428654373,226056.25
"188","T","TCDRG","202212","AESC","mkt_ordr","100-499",72,15289,0,15209,80,15289,0,0,0,0,0.1601,0.1663,7692,0.0699,0,7586,0,11,0.14,0,FALSE,FALSE,FALSE,FALSE,FALSE,15289,53613.08,3.50664399241285,23.6432879848257,0.703370868327331,361482.23
"189","T","TCDRG","202212","AESR","mkt_ordr","100-499",33,7980,0,7980,0,7980,0,0,0,0,0.0246,0.0197,3767,0.0047,0,3691,0,522,0.0188,0,FALSE,FALSE,FALSE,FALSE,FALSE,7980,789.13,0.0988884711779449,2.16777694235589,0.908765086254239,17298.86
"190","T","TCDRG","202212","AEVA","mkt_ordr","100-499",484,99025,100,98925,0,98925,0,0,0,0,6e-04,0.0025,98036,0.0038,0,889,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,98925,37253.68,0.37658508971443,1.00317017942886,0.249209959712253,99238.61
"191","T","TCDRG","202212","AEVA WS","mkt_ordr","100-499",4,704,0,704,0,704,0,0,0,0,0.0234,0.0234,497,1e-04,0,207,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,704,4.97,0.00705965909090909,2.35411931818182,0.994002292886019,1657.3
"192","T","TCDRG","202212","AEY","mkt_ordr","100-499",46,8031,0,8031,0,8031,0,0,0,0,0.0127,0.0193,7621,0.0044,0,410,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,8031,3353.24,0.417537043954676,2.76507408790935,0.697992147277058,22206.31
"193","T","TCDRG","202212","AEYE","mkt_ordr","100-499",29,4999,0,4999,0,4999,0,0,0,0,0.1189,0.126,4999,0.0207,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4999,10347.93,2.07,16.74,0.752688172043011,83683.26
"194","T","TCDRG","202212","AEZS","mkt_ordr","100-499",32,6536,0,6536,0,6536,0,0,0,0,0.0227,0.0403,5884,0.0112,0,440,0,212,0.03,0,FALSE,FALSE,FALSE,TRUE,FALSE,6536,5954.08,0.910966952264382,5.85193390452876,0.688661229902343,38248.24
"195","T","TCDRG","202212","AFB","mkt_ordr","100-499",88,21507,0,21507,0,21507,0,0,0,0,0.0059,0.0074,18265,0.0057,0,3242,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,21507,10411.05,0.484077277165574,1.70815455433115,0.433216068255461,36737.28
